Date,Value
4/1/2015 16:00:00,40.6
4/2/2015 16:00:00,40.66
4/6/2015 16:00:00,40.34
4/7/2015 16:00:00,41.61
4/8/2015 16:00:00,41.48
4/9/2015 16:00:00,41.25
4/10/2015 16:00:00,41.63
4/13/2015 16:00:00,41.4
4/14/2015 16:00:00,41.8
4/15/2015 16:00:00,41.76
4/16/2015 16:00:00,41.95
4/17/2015 16:00:00,41.67
4/20/2015 16:00:00,41.73
4/21/2015 16:00:00,43.0
4/22/2015 16:00:00,42.67
4/23/2015 16:00:00,42.85
4/24/2015 16:00:00,45.66
4/27/2015 16:00:00,47.23
4/28/2015 16:00:00,47.78
4/29/2015 16:00:00,48.72
4/30/2015 16:00:00,48.7
5/1/2015 16:00:00,48.58
5/4/2015 16:00:00,48.37
5/5/2015 16:00:00,47.82
5/6/2015 16:00:00,47.57
5/7/2015 16:00:00,46.27
5/8/2015 16:00:00,47.55
5/11/2015 16:00:00,47.55
5/12/2015 16:00:00,46.85
5/13/2015 16:00:00,48.19
5/14/2015 16:00:00,48.03
5/15/2015 16:00:00,48.87
5/18/2015 16:00:00,47.98
5/19/2015 16:00:00,47.62
5/20/2015 16:00:00,47.39
5/21/2015 16:00:00,47.28
5/22/2015 16:00:00,47.3
5/26/2015 16:00:00,46.83
5/27/2015 16:00:00,46.82
5/28/2015 16:00:00,47.5
5/29/2015 16:00:00,47.43
6/1/2015 16:00:00,47.06
6/2/2015 16:00:00,46.95
6/3/2015 16:00:00,47.37
6/4/2015 16:00:00,46.79
6/5/2015 16:00:00,46.31
6/8/2015 16:00:00,46.3
6/9/2015 16:00:00,45.76
6/10/2015 16:00:00,45.79
6/11/2015 16:00:00,46.66
6/12/2015 16:00:00,46.2
6/15/2015 16:00:00,45.45
6/16/2015 16:00:00,45.35
6/17/2015 16:00:00,45.73
6/18/2015 16:00:00,46.22
6/19/2015 16:00:00,46.79
6/22/2015 16:00:00,46.33
6/23/2015 16:00:00,46.13
6/24/2015 16:00:00,45.68
6/25/2015 16:00:00,46.03
6/26/2015 16:00:00,45.65
6/29/2015 16:00:00,45.04
6/30/2015 16:00:00,44.71
7/1/2015 16:00:00,44.49
7/2/2015 16:00:00,44.48
7/6/2015 16:00:00,43.96
7/7/2015 16:00:00,44.34
7/8/2015 16:00:00,44.44
7/9/2015 16:00:00,44.75
7/10/2015 16:00:00,45.01
7/13/2015 16:00:00,44.98
7/14/2015 16:00:00,45.45
7/15/2015 16:00:00,45.68
7/16/2015 16:00:00,46.01
7/17/2015 16:00:00,46.55
7/20/2015 16:00:00,46.65
7/21/2015 16:00:00,46.78
7/22/2015 16:00:00,45.44
7/23/2015 16:00:00,45.27
7/24/2015 16:00:00,45.91
7/27/2015 16:00:00,45.94
7/28/2015 16:00:00,45.58
7/29/2015 16:00:00,45.4
7/30/2015 16:00:00,46.26
7/31/2015 16:00:00,47.29
8/3/2015 16:00:00,46.98
8/4/2015 16:00:00,46.75
8/5/2015 16:00:00,47.98
8/6/2015 16:00:00,47.71
8/7/2015 16:00:00,46.39
8/10/2015 16:00:00,46.95
8/11/2015 16:00:00,46.82
8/12/2015 16:00:00,46.19
8/13/2015 16:00:00,47.06
8/14/2015 16:00:00,46.53
8/17/2015 16:00:00,46.81
8/18/2015 16:00:00,46.84
8/19/2015 16:00:00,46.78
8/20/2015 16:00:00,46.07
8/21/2015 16:00:00,45.3
8/24/2015 16:00:00,40.45
8/25/2015 16:00:00,42.57
8/26/2015 16:00:00,42.01
8/27/2015 16:00:00,43.23
8/28/2015 16:00:00,43.4
8/31/2015 16:00:00,43.56
9/1/2015 16:00:00,42.17
9/2/2015 16:00:00,42.36
9/3/2015 16:00:00,43.41
9/4/2015 16:00:00,42.81
9/8/2015 16:00:00,43.3
9/9/2015 16:00:00,44.21
9/10/2015 16:00:00,43.12
9/11/2015 16:00:00,43.14
9/14/2015 16:00:00,43.43
9/15/2015 16:00:00,43.19
9/16/2015 16:00:00,43.97
9/17/2015 16:00:00,44.29
9/18/2015 16:00:00,43.5
9/21/2015 16:00:00,43.62
9/22/2015 16:00:00,43.38
9/23/2015 16:00:00,43.93
9/24/2015 16:00:00,43.45
9/25/2015 16:00:00,44.48
9/28/2015 16:00:00,43.83
9/29/2015 16:00:00,43.37
9/30/2015 16:00:00,43.88
10/1/2015 16:00:00,44.75
10/2/2015 16:00:00,44.27
10/5/2015 16:00:00,45.75
10/6/2015 16:00:00,46.33
10/7/2015 16:00:00,47.1
10/8/2015 16:00:00,46.56
10/9/2015 16:00:00,47.45
10/12/2015 16:00:00,46.98
10/13/2015 16:00:00,46.56
10/14/2015 16:00:00,46.65
10/15/2015 16:00:00,47.01
10/16/2015 16:00:00,47.02
10/19/2015 16:00:00,47.42
10/20/2015 16:00:00,47.44
10/21/2015 16:00:00,47.92
10/22/2015 16:00:00,47.53
10/23/2015 16:00:00,52.3
10/26/2015 16:00:00,52.53
10/27/2015 16:00:00,53.99
10/28/2015 16:00:00,53.54
10/29/2015 16:00:00,53.54
10/30/2015 16:00:00,53.32
11/2/2015 16:00:00,52.85
11/3/2015 16:00:00,52.93
11/4/2015 16:00:00,54.18
11/5/2015 16:00:00,54.49
11/6/2015 16:00:00,54.09
11/9/2015 16:00:00,54.55
11/10/2015 16:00:00,54.01
11/11/2015 16:00:00,53.7
11/12/2015 16:00:00,53.48
11/13/2015 16:00:00,53.07
11/16/2015 16:00:00,53.08
11/17/2015 16:00:00,53.17
11/18/2015 16:00:00,53.0
11/19/2015 16:00:00,53.99
11/20/2015 16:00:00,54.25
11/23/2015 16:00:00,54.25
11/24/2015 16:00:00,53.92
11/25/2015 16:00:00,54.09
11/27/2015 16:00:00,53.8
11/30/2015 16:00:00,54.54
12/1/2015 16:00:00,54.41
12/2/2015 16:00:00,55.32
12/3/2015 16:00:00,55.49
12/4/2015 16:00:00,54.12
12/7/2015 16:00:00,55.79
12/8/2015 16:00:00,55.47
12/9/2015 16:00:00,55.37
12/10/2015 16:00:00,55.39
12/11/2015 16:00:00,54.71
12/14/2015 16:00:00,54.33
12/15/2015 16:00:00,55.66
12/16/2015 16:00:00,55.54
12/17/2015 16:00:00,56.36
12/18/2015 16:00:00,55.77
12/21/2015 16:00:00,54.88
12/22/2015 16:00:00,54.99
12/23/2015 16:00:00,55.7
12/24/2015 16:00:00,55.86
12/28/2015 16:00:00,55.35
12/29/2015 16:00:00,56.29
12/30/2015 16:00:00,56.47
12/31/2015 16:00:00,56.04
1/4/2016 16:00:00,54.32
1/5/2016 16:00:00,54.93
1/6/2016 16:00:00,54.32
1/7/2016 16:00:00,52.7
1/8/2016 16:00:00,52.37
1/11/2016 16:00:00,52.51
1/12/2016 16:00:00,52.76
1/13/2016 16:00:00,53.8
1/14/2016 16:00:00,52.0
1/15/2016 16:00:00,51.31
1/19/2016 16:00:00,51.48
1/20/2016 16:00:00,49.98
1/21/2016 16:00:00,51.0
1/22/2016 16:00:00,51.41
1/25/2016 16:00:00,51.94
1/26/2016 16:00:00,51.79
1/27/2016 16:00:00,52.01
1/28/2016 16:00:00,51.86
1/29/2016 16:00:00,54.73
2/1/2016 16:00:00,54.88
2/2/2016 16:00:00,54.17
2/3/2016 16:00:00,53.25
2/4/2016 16:00:00,52.1
2/5/2016 16:00:00,51.94
2/8/2016 16:00:00,49.55
2/9/2016 16:00:00,49.02
2/10/2016 16:00:00,49.89
2/11/2016 16:00:00,48.68
2/12/2016 16:00:00,50.25
2/16/2016 16:00:00,50.9
2/17/2016 16:00:00,51.49
2/18/2016 16:00:00,52.33
2/19/2016 16:00:00,51.97
2/22/2016 16:00:00,52.28
2/23/2016 16:00:00,52.34
2/24/2016 16:00:00,50.69
2/25/2016 16:00:00,51.73
2/26/2016 16:00:00,52.6
2/29/2016 16:00:00,51.35
3/1/2016 16:00:00,50.97
3/2/2016 16:00:00,52.41
